"difference_score"	"sample_size"
"1"	0.578486835186118	10
"2"	0.237789427477781	20
"3"	0.118801639841302	30
"4"	0.143294349027304	40
"5"	0.130069648743479	50
"6"	0.142756400750484	60
"7"	0.126920490147378	70
"8"	0.122477594663887	80
"9"	0.1552369973671	90
"10"	0.144735894280091	100
"11"	0.14828778098607	200
"12"	0.104475051351044	300
"13"	0.108851568154994	400
"14"	0.0908699544217939	500
"15"	0.0865441063197149	600
"16"	0.0950188169013818	700
"17"	0.112754449485231	800
"18"	0.114964287106762	900
